Reserve,Reserve count (values),Genus_Species,Family,Genus,Species,ssp./var. designation,ssp./var. name,Division,Reserve count (formula),Synonym,Common Name,"Uncertainties in species ID, noted in original flora",Native/Exotic,Habitat (approx),Bloom Time (approx),,,,,,
Stebbins Cold Canyon,8,Salix exigua,Salicaceae,Salix,exigua,,,Angiosperm,8,,Sandbar willow,,,Common along streams and arroyos,March-May,,,,,,
Sweeney Granite Mountains ,9,Salix exigua,Salicaceae,Salix,exigua,,,Angiosperm,9,,narrow-leaved willow,,,,,,,,,,
Boyd Deep Canyon,1,Salix gooddingii,Salicaceae,Salix,gooddingii,,,Angiosperm,1,,,,,,,,,,,,
Dawson Los Monos Canyon,2,Salix gooddingii,Salicaceae,Salix,gooddingii,,,Angiosperm,2,,,,,,,,,,,,
Jepson Prairie,3,Salix gooddingii,Salicaceae,Salix,gooddingii,,,Angiosperm,3,,,,,,,,,,,,
San Joaquin Freshwater Marsh,4,Salix gooddingii,Salicaceae,Salix,gooddingii,,,Angiosperm,4,   ,,,,,,,,,,,
Sweeney Granite Mountains ,5,Salix gooddingii,Salicaceae,Salix,gooddingii,,,Angiosperm,5,,Gooding's black willow,,,,,,,,,,
Angelo Coast Range,1,Salix laevigata,Salicaceae,Salix,laevigata,,,,1,,,,,,,,,,,,
Boyd Deep Canyon,2,Salix laevigata,Salicaceae,Salix,laevigata,,,Angiosperm,2,,,,,,,,,,,,
Burns Pinon Ridge,3,Salix laevigata,Salicaceae,Salix,laevigata,,,Angiosperm,3,,,,,,,,,,,,
Carpinteria Salt Marsh,4,Salix laevigata,Salicaceae,Salix,laevigata,,,Angiosperms,4,,Red Willow    ,,,,,,,,,,
Hastings,5,Salix laevigata,Salicaceae,Salix,laevigata,,,Angiosperm,5,,,,,,,,,,,,
Jepson Prairie,6,Salix laevigata,Salicaceae,Salix,laevigata,,,Angiosperm,6,,,,,,,,,,,,
McLaughlin,7,Salix laevigata,Salicaceae,Salix,laevigata,,,Angiosperm,7,,,,,,,,,,,,
Motte Rimrock,8,Salix laevigata,Salicaceae,Salix,laevigata,,,Angiosperm,8,,Red Willow ,,,,,,,,,,
San Joaquin Freshwater Marsh,9,Salix laevigata,Salicaceae,Salix,laevigata,,,Angiosperm,9,   ,,,,,,,,,,,
Sedgewick,10,Salix laevigata,Salicaceae,Salix,laevigata,,,Angiosperm,10,,,,,,,,,,,,
Stebbins Cold Canyon,11,Salix laevigata,Salicaceae,Salix,laevigata,,,Angiosperm,11,,Red willow,,,Streambanks,,,,,,,
Sweeney Granite Mountains ,12,Salix laevigata,Salicaceae,Salix,laevigata,,,Angiosperm,12,,red willow,,,,,,,,,,
Angelo Coast Range,1,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,,1,,,,,,,,,,,,
Bodega,2,Salix lasiolepis,Salicaceae,Salix,lasiolepis,var.,lasiolepis,Angiosperm,2,,Arroyo willow,,native,,,,,,,,
Bodega,3,Salix lasiolepis,Salicaceae,Salix,lasiolepis,var.,bigelovii,Angiosperm,3,,Arroyo willow,,native,,,,,,,,
Boyd Deep Canyon,4,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,4,,,,,,,,,,,,
Carpinteria Salt Marsh,5,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperms,5,,Arroyo Willow,,,,,,,,,,
Coal Oil Point,6,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,6,,Arroyo Willow,,,,,,,,,,
Dawson Los Monos Canyon,7,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,7,,,,,,,,,,,,
Hastings,8,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,8,,,,,,,,,,,,
James San Jacinto Mountains,9,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,9,,,,,,,,,,,,
Jepson Prairie,10,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,10,,,,,,,,,,,,
Landells-Hill Big Creek,11,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,11,,Arroyo Willow ,,,,,,,,,,
McLaughlin,12,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,12,,,,,,,,,,,,
Motte Rimrock,13,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,13,,Arroyo Willow ,,,,,,,,,,
Kenneth S Norris Rancho Marino,14,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,14,,Arroyo Willow,,,,,,,,,,
San Joaquin Freshwater Marsh,15,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,15,   ,,,,,,,,,,,
Scripps Coastal,16,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,16,,,,,,,,,,,,
Sedgewick,17,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,17,,,,,,,,,,,,
Stebbins Cold Canyon,18,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,18,,Arroyo willow,,,Common along stream banks and beds,February-April,,,,,,
Stunt Ranch Santa Monica Mountains,19,Salix lasiolepis,Salicaceae,Salix,lasiolepis,var.,lasiolepis,Angiosperm,19,,,,,,,,,,,,
Sweeney Granite Mountains ,20,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,20,,arroyo willow,,,,,,,,,,
Younger Lagoon,21,Salix lasiolepis,Salicaceae,Salix,lasiolepis,,,Angiosperm,21,,Arroyo Willow  ,,,,,,,,,,
Sagehen Creek,1,Salix lemmonii,Salicaceae,Salix,lemmonii,,,Angiosperm,1,,,,,,,,,,,,
Bodega,1,Salix lucida,Salicaceae,Salix,lucida,,,Angiosperm,1,,Shining willow,,native,,,,,,,,
Carpinteria Salt Marsh,2,Salix lucida,Salicaceae,Salix,lucida,ssp.,lasiandra,Angiosperms,2,,Shining Willow    ,,,,,,,,,,
Valentine,3,Salix lucida,Salicaceae,Salix,lucida,ssp.,caudata,Angiosperm,3,,,,,High Montane Riparian Woodland,,,,,,,
James San Jacinto Mountains,1,Salix lutea,Salicaceae,Salix,lutea,,,Angiosperm,1,,,,,,,,,,,,
SNARL,2,Salix lutea,Salicaceae,Salix,lutea,,,Angiosperm,2,,,,,see SNARL list (original),,,,,,,
Stebbins Cold Canyon,1,Salix melanopsis,Salicaceae,Salix,melanopsis,,,Angiosperm,1,,Dusky willow,,,Stream banks,March-May,,,,,,
Valentine,1,Salix planifolia,Salicaceae,Salix,planifolia,ssp.,planifolia,Angiosperm,1,,,,,High Montane Riparian Woodland,,,,,,,
Bodega,1,Salix sitchensis,Salicaceae,Salix,sitchensis,,,Angiosperm,1,,Sitka willow,,native,,,,,,,,
Landells-Hill Big Creek,2,Salix sitchensis,Salicaceae  ,Salix,sitchensis,,,Angiosperm,2,,Coulter Willow ,,,,,,,,,,
Blue Oak Ranch,1,Salix sp.,Salicaceae,Salix,sp.,,,Angiosperm,1,,,,,,,,,,,,
Scripps Coastal,2,Salix sp.,Salicaceae,Salix,sp.,,,Angiosperm,2,,,,,,,,,,,,
Bodega,1,Salsola soda,Chenopodiaceae,Salsola,soda,,,Angiosperm,1,,,,introduced,,,,,,,,
Kendall-Frost Mission Bay Marsh,1,Salsola sp.,Amaranthaceae,Salsola,sp.,,,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,1,Salsola tragus,Chenopodiaceae,Salsola,tragus,,,Angiosperm,1,S. iberica ,,,,,,,,,,,
Burns Pinon Ridge,2,Salsola tragus,Amaranthaceae ,Salsola,tragus,,,Angiosperm,2,,,,,,,,,,,,
Carpinteria Salt Marsh,3,Salsola tragus,Chenopodiaceae,Salsola,tragus,,,Angiosperms,3,,"Russian Thistle, Tumbleweed   ",,,,,,,,,,
Elliot Chaparral,4,Salsola tragus,Amaranthaceae,Salsola,tragus,,,Angiosperm,4,,,,,,,,,,,,
Kendall-Frost Mission Bay Marsh,5,Salsola tragus,Amaranthaceae,Salsola,tragus,,,Angiosperm,5,,,,,,,,,,,,
McLaughlin,6,Salsola tragus,Chenopodiaceae,Salsola,tragus,,,Angiosperm,6,,,,,,,,,,,,
San Joaquin Freshwater Marsh,7,Salsola tragus,Chenopodiaceae,Salsola,tragus,,,Angiosperm,7,   ,,,,,,,,,,,
Scripps Coastal,8,Salsola tragus,Amaranthaceae,Salsola,tragus,,,Angiosperm,8,,,,,,,,,,,,
SNARL,9,Salsola tragus,Chenopodiaceae,Salsola,tragus,,,Angiosperm,9,,,,,see SNARL list (original),,,,,,,
Stunt Ranch Santa Monica Mountains,10,Salsola tragus,Chenopodiaceae,Salsola,tragus,,,Angiosperm,10,Salsola iberica,,,Exotic,,,,,,,,
Sweeney Granite Mountains ,11,Salsola tragus,Chenopodiaceae,Salsola,tragus,,,Angiosperm,11,S. iberica,Russian thistle,,,,,,,,,,
Elliot Chaparral,1,Saltugilia caruifolia,Polemoniaceae,Saltugilia,caruifolia,,,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,1,Salvia apiana,Lamiaceae,Salvia,apiana,,,Angiosperm,1,,,,,,,,,,,,
Dawson Los Monos Canyon,2,Salvia apiana,Lamiaceae,Salvia,apiana,,,Angiosperm,2,,,,,,,,,,,,
Elliot Chaparral,3,Salvia apiana,Lamiaceae,Salvia,apiana,,,Angiosperm,3,,,,,,,,,,,,
Motte Rimrock,4,Salvia apiana,Lamiaceae,Salvia,apiana,,,Angiosperm,4,,White Sage ,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,5,Salvia apiana,Lamiaceae,Salvia,apiana,,,Angiosperm,5,,,,,,,,,,,,
Boyd Deep Canyon,1,Salvia carduacea,Lamiaceae,Salvia,carduacea,,,Angiosperm,1,,,,,,,,,,,,
Sedgewick,2,Salvia carduacea,Lamiaceae,Salvia,carduacea,,,Angiosperm,2,,,,,,,,,,,,
Elliot Chaparral,1,Salvia clevelandii,Lamiaceae,Salvia,clevelandii,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,1,Salvia columbariae,Lamiaceae,Salvia,columbariae,,,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,2,Salvia columbariae,Lamiaceae,Salvia,columbariae,,,Angiosperm,2,,,,,,,,,,,,
Burns Pinon Ridge,3,Salvia columbariae,Lamiaceae,Salvia,columbariae,var.,columbariae,Angiosperm,3,,,,,,,,,,,,
Dawson Los Monos Canyon,4,Salvia columbariae,Lamiaceae,Salvia,columbariae,,,Angiosperm,4,,,,,,,,,,,,
Elliot Chaparral,5,Salvia columbariae,Lamiaceae,Salvia,columbariae,,,Angiosperm,5,,,,,,,,,,,,
Hastings,6,Salvia columbariae,Lamiaceae,Salvia,columbariae,,,Angiosperm,6,,,,,,,,,,,,
Landells-Hill Big Creek,7,Salvia columbariae,Lamiaceae,Salvia,columbariae,,,Angiosperm,7,,Chia ,,,,,,,,,,
McLaughlin,8,Salvia columbariae,Lamiaceae,Salvia,columbariae,,,Angiosperm,8,,,,,,,,,,,,
Motte Rimrock,9,Salvia columbariae,Lamiaceae,Salvia,columbariae,,,Angiosperm,9,,Chia  ,,,,,,,,,,
Quail Ridge,10,Salvia columbariae,Lamiaceae,Salvia,columbariae,,,Angiosperm,10,,Chia    ,,,,,,,,,,
Scripps Coastal,11,Salvia columbariae,Lamiaceae,Salvia,columbariae,ssp.,columbariae,Angiosperm,11,,,,,,,,,,,,
Sedgewick,12,Salvia columbariae,Lamiaceae,Salvia,columbariae,,,Angiosperm,12,,,,,,,,,,,,
Stebbins Cold Canyon,13,Salvia columbariae,Lamiaceae,Salvia,columbariae,,,Angiosperm,13,,Chia,,,"Dry, disturbed sites, chaparral",March-June,,,,,,
Stunt Ranch Santa Monica Mountains,14,Salvia columbariae,Lamiaceae,Salvia,columbariae,,,Angiosperm,14,,,,,,,,,,,,
Sweeney Granite Mountains ,15,Salvia columbariae,Lamiaceae,Salvia,columbariae,,,Angiosperm,15,,chia,,,,,,,,,,
Burns Pinon Ridge,1,Salvia dorrii,Lamiaceae,Salvia,dorrii,ssp.,pilosa,Angiosperm,1,,,,,,,,,,,,
Sweeney Granite Mountains ,2,Salvia dorrii,Lamiaceae,Salvia,dorrii,var.,pilosa,Angiosperm,2,,purple sage,,,,,,,,,,
Boyd Deep Canyon,1,Salvia eremostachyia,Lamiaceae,Salvia,eremostachyia,,,Angiosperm,1,,,,,,,,,,,,
Hastings,1,Salvia leucophylla,Lamiaceae,Salvia,leucophylla,,,Angiosperm,1,,,,,,,,,,,,
Sedgewick,2,Salvia leucophylla,Lamiaceae,Salvia,leucophylla,,,Angiosperm,2,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,3,Salvia leucophylla,Lamiaceae,Salvia,leucophylla,,,Angiosperm,3,,,,,,,,,,,,
Blue Oak Ranch,1,Salvia mellifera,Lamiaceae,Salvia,mellifera,,,Angiosperm,1,,,,,,,,,,,,
Dawson Los Monos Canyon,2,Salvia mellifera,Lamiaceae,Salvia,mellifera,,,Angiosperm,2,,,,,,,,,,,,
Elliot Chaparral,3,Salvia mellifera,Lamiaceae,Salvia,mellifera,,,Angiosperm,3,,,,,,,,,,,,
Fort Ord,4,Salvia mellifera,Lamiaceae,Salvia,mellifera,,,Angiosperm,4,,Black sage,,,,,,,,,,
Hastings,5,Salvia mellifera,Lamiaceae,Salvia,mellifera,,,Angiosperm,5,,,,,,,,,,,,
Landells-Hill Big Creek,6,Salvia mellifera,Lamiaceae,Salvia,mellifera,,,Angiosperm,6,,Black Sage ,,,,,,,,,,
Motte Rimrock,7,Salvia mellifera,Lamiaceae,Salvia,mellifera,,,Angiosperm,7,,Black Sage ,,,,,,,,,,
San Joaquin Freshwater Marsh,8,Salvia mellifera,Geraniaceae,Salvia,mellifera,,,Angiosperm,8,   ,,,,,,,,,,,
Scripps Coastal,9,Salvia mellifera,Lamiaceae,Salvia,mellifera,,,Angiosperm,9,,,,,,,,,,,,
Sedgewick,10,Salvia mellifera,Lamiaceae,Salvia,mellifera,,,Angiosperm,10,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,11,Salvia mellifera,Lamiaceae,Salvia,mellifera,,,Angiosperm,11,,,,,,,,,,,,
Burns Pinon Ridge,1,Salvia mohavensis,Lamiaceae,Salvia,mohavensis,,,Angiosperm,1,,,,,,,,,,,,
Sweeney Granite Mountains ,2,Salvia mohavensis,Lamiaceae,Salvia,mohavensis,,,Angiosperm,2,,Mojave sage,,,,,,,,,,
Boyd Deep Canyon,1,Salvia pachyphylla,Lamiaceae,Salvia,pachyphylla,,,Angiosperm,1,,,,,,,,,,,,
Sweeney Granite Mountains ,2,Salvia pachyphylla,Lamiaceae,Salvia,pachyphylla,,,Angiosperm,2,,rose sage,,,,,,,,,,
Kenneth S Norris Rancho Marino,1,Salvia spathacea,Lamiaceae,Salvia,spathacea,,,Angiosperm,1,,Crimson Sage,,,,,,,,,,
Sedgewick,2,Salvia spathacea,Lamiaceae,Salvia,spathacea,,,Angiosperm,2,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,3,Salvia spathacea,Lamiaceae,Salvia,spathacea,,,Angiosperm,3,,,,,,,,,,,,
Boyd Deep Canyon,1,Salvia vaseyi,Lamiaceae,Salvia,vaseyi,,,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,1,Salvia vaseyi ,Lamiaceae,Salvia,vaseyi ,,,Angiosperm,1,,,X apiana,,,,,,,,,
Chickering American River,1,Sambucus caerulea,Caprifoliaceae,Sambucus,caerulea,,,Angiosperm,1,,,,,,,,,,,,
Younger Lagoon,1,Sambucus callicarpa,Caprifoliaceae,Sambucus,callicarpa,,,Angiosperm,1,,Red Elderberry  ,,,,,,,,,,
Angelo Coast Range,1,Sambucus mexicana,Caprifoliaceae,Sambucus,mexicana,,,,1,,,,,,,,,,,,
Blue Oak Ranch,2,Sambucus mexicana,Caprifoliaceae,Sambucus,mexicana,,,Angiosperm,2,,,,,,,,,,,,
Boyd Deep Canyon,3,Sambucus mexicana,Caprifoliaceae,Sambucus,mexicana,,,Angiosperm,3,,,,,,,,,,,,
Carpinteria Salt Marsh,4,Sambucus mexicana,Caprifoliaceae,Sambucus,mexicana,,,Angiosperms,4,,Blue Elderberry    ,,,,,,,,,,
Coal Oil Point,5,Sambucus mexicana,Caprifoliaceae,Sambucus,mexicana,,,Angiosperm,5,,Elderberry,,,,,,,,,,
Hastings,6,Sambucus mexicana,Caprifoliaceae,Sambucus,mexicana,,,Angiosperm,6,,,,,,,,,,,,
Landells-Hill Big Creek,7,Sambucus mexicana,Caprifoliaceae,Sambucus,mexicana,,,Angiosperm,7,,Blue Elderberry ,,,,,,,,,,
McLaughlin,8,Sambucus mexicana,Caprifoliaceae,Sambucus,mexicana,,,Angiosperm,8,,,,,,,,,,,,
Motte Rimrock,9,Sambucus mexicana,Caprifoliaceae,Sambucus,mexicana,,,Angiosperm,9,,Blue Elderberry ,,,,,,,,,,
Quail Ridge,10,Sambucus mexicana,Caprifoliaceae,Sambucus,mexicana,,,Angiosperm,10,,Blue elderberry   ,,,,,,,,,,
San Joaquin Freshwater Marsh,11,Sambucus mexicana,Adoxaceae,Sambucus,mexicana,,,Angiosperm,11,,,,,,,,,,,,
Sedgewick,12,Sambucus mexicana,Caprifoliaceae,Sambucus,mexicana,,,Angiosperm,12,,,,,,,,,,,,
Stebbins Cold Canyon,13,Sambucus mexicana,Caprifoliaceae,Sambucus,mexicana,,,Angiosperm,13,,Blue elderberry,,,Streambanks,March-September,,,,,,
Stunt Ranch Santa Monica Mountains,14,Sambucus mexicana,Caprifoliaceae,Sambucus,mexicana,,,Angiosperm,14,,,,,,,,,,,,
Chickering American River,1,Sambucus microbotrys,Caprifoliaceae,Sambucus,microbotrys,,,Angiosperm,1,,,,,,,,,,,,
Dawson Los Monos Canyon,1,Sambucus nigra,Adoxaceae,Sambucus,nigra,ssp.,caerulea,Angiosperm,1,,,,,,,,,,,,
Elliot Chaparral,2,Sambucus nigra,Adoxaceae,Sambucus,nigra,ssp.,caerulea,Angiosperm,2,,,,,,,,,,,,
Scripps Coastal,3,Sambucus nigra,Adoxaceae,Sambucus,nigra,ssp.,caerulea,Angiosperm,3,,,,,,,,,,,,
Valentine,1,Sambucus sp.,Caprifoliaceae,Sambucus,sp.,,,Angiosperm,1,,,,,Sierran Upper Montane Forest,,,,,,,
Jepson Prairie,1,Samolus parviflorus,Primulaceae  ,Samolus,parviflorus,,,Angiosperm,1,,,,,,,,,,,,
Hastings,1,Sanguisorba minor,Rosaceae,Sanguisorba,minor,,,,1,,,,,,,,,,,,
Sagehen Creek,1,Sanguisorba occidentalis,Rosaceae,Sanguisorba,occidentalis,,,Angiosperm,1,,,,,,,,,,,,
Bodega,1,Sanicula arctopoides,Apiaceae,Sanicula,arctopoides,,,Angiosperm,1,,Footsteps of spring,,native,,,,,,,,
Fort Ord,2,Sanicula arctopoides,Apiaceae,Sanicula,arctopoides,,,Angiosperm,2,,Footsteps of spring,,,,,,,,,,
Younger Lagoon,3,Sanicula arctopoides,Apiaceae,Sanicula,arctopoides,,,Angiosperm,3,,Footsteps Of Spring ,,,,,,,,,,
Coal Oil Point,1,Sanicula arguta,Apiaceae,Sanicula,arguta,,,Angiosperm,1,,Sharp toothed sanicle,,,,,,,,,,
Dawson Los Monos Canyon,2,Sanicula arguta,Apiaceae,Sanicula,arguta,,,Angiosperm,2,,,,,,,,,,,,
Kenneth S Norris Rancho Marino,3,Sanicula arguta,Apiaceae,Sanicula,arguta,,,Angiosperm,3,,Shining sanicle,,,,,,,,,,
Sedgewick,4,Sanicula arguta,Apiaceae,Sanicula,arguta,,,Angiosperm,4,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,5,Sanicula arguta,Apiaceae,Sanicula,arguta,,,Angiosperm,5,,,,,,,,,,,,
Angelo Coast Range,1,Sanicula bipinnata,Apiaceae,Sanicula,bipinnata,,,,1,,,,,,,,,,,,
Blue Oak Ranch,2,Sanicula bipinnata,Apiaceae,Sanicula,bipinnata,,,Angiosperm,2,,,,,,,,,,,,
Hastings,3,Sanicula bipinnata,Apiaceae,Sanicula,bipinnata,,,Angiosperm,3,,,,,,,,,,,,
McLaughlin,4,Sanicula bipinnata,Apiaceae,Sanicula,bipinnata,,,Angiosperm,4,,,,,,,,,,,,
Quail Ridge,5,Sanicula bipinnata,Apiaceae,Sanicula,bipinnata,,,Angiosperm,5,,Poison sanicle   ,,,,,,,,,,
Sedgewick,6,Sanicula bipinnata,Apiaceae,Sanicula,bipinnata,,,Angiosperm,6,,,,,,,,,,,,
Stebbins Cold Canyon,7,Sanicula bipinnata,Apiaceae,Sanicula,bipinnata,,,Angiosperm,7,,Poison sanicle,,,"Open grassland, pine-oak woodland",April-May,,,,,,
Angelo Coast Range,1,Sanicula bipinnatifida,Apiaceae  ,Sanicula,bipinnatifida,,,,1,,,,,,,,,,,,
Blue Oak Ranch,2,Sanicula bipinnatifida,Apiaceae,Sanicula,bipinnatifida,,,Angiosperm,2,,,,,,,,,,,,
Dawson Los Monos Canyon,3,Sanicula bipinnatifida,Apiaceae,Sanicula,bipinnatifida,,,Angiosperm,3,,,,,,,,,,,,
Hastings,4,Sanicula bipinnatifida,Apiaceae  ,Sanicula,bipinnatifida,,,Angiosperm,4,,,,,,,,,,,,
Jepson Prairie,5,Sanicula bipinnatifida,Apiaceae,Sanicula,bipinnatifida,,,Angiosperm,5,,,,,,,,,,,,
McLaughlin,6,Sanicula bipinnatifida,Apiaceae,Sanicula,bipinnatifida,,,Angiosperm,6,,,,,,,,,,,,
Quail Ridge,7,Sanicula bipinnatifida,Apiaceae,Sanicula,bipinnatifida,,,Angiosperm,7,,Purple sanicle   ,,,,,,,,,,
Scripps Coastal,8,Sanicula bipinnatifida,Apiaceae,Sanicula,bipinnatifida,,,Angiosperm,8,,,,,,,,,,,,
Sedgewick,9,Sanicula bipinnatifida,Apiaceae,Sanicula,bipinnatifida,,,Angiosperm,9,,,,,,,,,,,,
Stebbins Cold Canyon,10,Sanicula bipinnatifida,Apiaceae,Sanicula,bipinnatifida,,,Angiosperm,10,,Purple sanicle,,,"Open grassland, pine-oak woodland",March-May,,,,,,
Angelo Coast Range,1,Sanicula crassicaulis,Apiaceae  ,Sanicula,crassicaulis,,,,1,,,,,,,,,,,,
Blue Oak Ranch,2,Sanicula crassicaulis,Apiaceae,Sanicula,crassicaulis,,,Angiosperm,2,,,,,,,,,,,,
Bodega,3,Sanicula crassicaulis,Apiaceae,Sanicula,crassicaulis,,,Angiosperm,3,,,,native,,,,,,,,
Dawson Los Monos Canyon,4,Sanicula crassicaulis,Apiaceae,Sanicula,crassicaulis,,,Angiosperm,4,,,,,,,,,,,,
Elliot Chaparral,5,Sanicula crassicaulis,Apiaceae,Sanicula,crassicaulis,,,Angiosperm,5,,,,,,,,,,,,
Fort Ord,6,Sanicula crassicaulis,Apiaceae,Sanicula,crassicaulis,,,Angiosperm,6,,"Gambleweed, Pacific sanicle",,,,,,,,,,
Hastings,7,Sanicula crassicaulis,Apiaceae  ,Sanicula,crassicaulis,,,Angiosperm,7,,,,,,,,,,,,
Landells-Hill Big Creek,8,Sanicula crassicaulis,Apiaceae  ,Sanicula,crassicaulis,,,Angiosperm,8,,"Snakeweed, Gambleweed ",,,,,,,,,,
McLaughlin,9,Sanicula crassicaulis,Apiaceae,Sanicula,crassicaulis,,,Angiosperm,9,,,,,,,,,,,,
Quail Ridge,10,Sanicula crassicaulis,Apiaceae,Sanicula,crassicaulis,,,Angiosperm,10,,Gamble weed   ,,,,,,,,,,
Kenneth S Norris Rancho Marino,11,Sanicula crassicaulis,Apiaceae,Sanicula,crassicaulis,,,Angiosperm,11,,"Gambleweed, Sanicle",,,,,,,,,,
Sedgewick,12,Sanicula crassicaulis,Apiaceae,Sanicula,crassicaulis,,,Angiosperm,12,,,,,,,,,,,,
Stebbins Cold Canyon,13,Sanicula crassicaulis,Apiaceae,Sanicula,crassicaulis,,,Angiosperm,13,,Gamble weed,,,"Open slopes, woodlands",March-May,,,,,,
Stunt Ranch Santa Monica Mountains,14,Sanicula crassicaulis,Apiaceae,Sanicula,crassicaulis,,,Angiosperm,14,,,,,,,,,,,,
Younger Lagoon,15,Sanicula crassicaulis,Apiaceae  ,Sanicula,crassicaulis,,,Angiosperm,15,,Sanicle   ,,,,,,,,,,
Chickering American River,1,Sanicula graveolens,Apiaceae  ,Sanicula,graveolens,,,Angiosperm,1,,,,,,,,,,,,
Angelo Coast Range,1,Sanicula laciniata,Apiaceae  ,Sanicula,laciniata,,,,1,,,,,,,,,,,,
Kenneth S Norris Rancho Marino,2,Sanicula laciniata,Apiaceae  ,Sanicula,laciniata,,,Angiosperm,2,,Cutleaf sanicle,,,,,,,,,,
Blue Oak Ranch,1,Sanicula tuberosa,Apiaceae  ,Sanicula,tuberosa,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,2,Sanicula tuberosa,Apiaceae  ,Sanicula,tuberosa,,,Angiosperm,2,,,,,,,,,,,,
Hastings,3,Sanicula tuberosa,Apiaceae  ,Sanicula,tuberosa,,,Angiosperm,3,,,,,,,,,,,,
McLaughlin,4,Sanicula tuberosa,Apiaceae  ,Sanicula,tuberosa,,,Angiosperm,4,,,,,,,,,,,,
Quail Ridge,5,Sanicula tuberosa,Apiaceae  ,Sanicula,tuberosa,,,Angiosperm,5,,Turkey pea   ,,,,,,,,,,
Coal Oil Point,1,Saponaria officinalis,Caryophyllaceae,Saponaria,officinalis,,,Angiosperm,1,,Soap wort,,,,,,,,,,
Boyd Deep Canyon,1,Sarcodes sanguinea,Ericaceae,Sarcodes,sanguinea,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,2,Sarcodes sanguinea,Pyrolaceae,Sarcodes,sanguinea,,,Angiosperm,2,,,,,,,,,,,,
James San Jacinto Mountains,3,Sarcodes sanguinea,Ericaceae,Sarcodes,sanguinea,,,Angiosperm,3,,,,,,,,,,,,
Boyd Deep Canyon,1,Sarcostemma cyanchoides,Asclepiadaceae,Sarcostemma,cyanchoides,ssp.,hartwegii,Angiosperm,1,,,,,,,,,,,,
Motte Rimrock,1,Sarcostemma cynanchoides,Asclepiadaceae,Sarcostemma,cynanchoides,,,Angiosperm,1,,Climbing Milkweed ,,,,,,,,,,
Sweeney Granite Mountains ,2,Sarcostemma cynanchoides,Asclepiadaceae,Sarcostemma,cynanchoides,ssp.,hartwegii,Angiosperm,2,,climbing milkweed,,,,,,,,,,
Boyd Deep Canyon,1,Sarcostemma hirtellum,Asclepiadaceae,Sarcostemma,hirtellum,,,Angiosperm,1,,,,,,,,,,,,
Sweeney Granite Mountains ,2,Sarcostemma hirtellum,Asclepiadaceae,Sarcostemma,hirtellum,,,Angiosperm,2,,trailing townula,,,,,,,,,,
Landells-Hill Big Creek,1,Satureja chamissonis,Lamiaceae,Satureja,chamissonis,,,Angiosperm,1,,,,,,,,,,,,
Angelo Coast Range,1,Satureja douglasii,Lamiaceae,Satureja,douglasii,,,,1,,,,,,,,,,,,
Blue Oak Ranch,2,Satureja douglasii,Lamiaceae,Satureja,douglasii,,,Angiosperm,2,,,,,,,,,,,,
Fort Ord,3,Satureja douglasii,Lamiaceae,Satureja,douglasii,,,Angiosperm,3,,Yerba buena,,,,,,,,,,
Hastings,4,Satureja douglasii,Lamiaceae,Satureja,douglasii,,,Angiosperm,4,,,,,,,,,,,,
Kenneth S Norris Rancho Marino,5,Satureja douglasii,Lamiaceae,Satureja,douglasii,,,Angiosperm,5,,Yerba buena,,,,,,,,,,
Hastings,1,Satureja mimuloides,Lamiaceae,Satureja,mimuloides,,,Angiosperm,1,,,,,,,,,,,,
